"CodMat","CodFam","Descri","UniMat","CosMat","Desper","Provee","Consum","FecMat","Importado"
"MT1649","13","VALVULA TIPO FLOTANTE DE BRONCE D = 2 1/","pza","132,23","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1650","13","VALVULA TIPO FLOTANTE DE BRONCE D = 3""","pza","170,8","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1693","00","REJILLA CROMADA D=2"" DREN DE PISO FP O S","pza","13,81","0","MOTUSA","","4/5/2026 12:00:00 a. m.","False"
"MT1696","15","CORREDERA GUIA P/PUERTAS, REJAS METALICA","m","1,29","0","INVERGLASS C.A. - VIDRIOS","","4/5/2026 12:00:00 a. m.","False"
"MT1697","01","PLETINA DE ACERO 3/4"" X  3/16"" (0,71 KG/","kgf","3,07","5","MATERIALES DE PLOMERIA C.A. MAPLOCA","","4/5/2026 12:00:00 a. m.","False"
"MT1698","01","PLETINA DE ACERO 3/4"" X 1/8""  (0,475 KG/","kgf","3,07","5","MATERIALES DE PLOMERIA C.A. MAPLOCA","","4/5/2026 12:00:00 a. m.","False"
"MT1707","00","PUERTA DE MADERA MACIZA ROBLE/CAOBA 2,10","und","96,98","0","PUERTAS AYNCA","","4/5/2026 12:00:00 a. m.","False"
"MT173","00","BISAGRA DE HIERRO 3"" X 3"", E= 2MM TIPO B","jgo","6,84","5","COMETAL","","4/5/2026 12:00:00 a. m.","False"
"MT1732","05","TUBO PERFORADO DE CONCRETO 8"" (20 CM) 15","m","27,01","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT1734","00","VIAJE CAMION FERRY PLC-MARGARITA-PLC HAS","m","551,02","0","CONFERRY","","4/5/2026 12:00:00 a. m.","False"
"MT1736","01","LAMINA DE ACERO ESTRUCTURAL A-36 E=25MM ","kgf","2,84","5","","","4/5/2026 12:00:00 a. m.","False"
"MT175","00","BISAGRA DE HIERRO 21 CM TIPO VAIVEN DE P","jgo","85,45","5","COMETAL","","4/5/2026 12:00:00 a. m.","False"
"MT1753","17","PINTURA TRAFICO BLANCA SIN PERLAS","cuñ","264,48","5","LA TIENDA DEL PINTOR-FLAMUCO PPAL","","4/5/2026 12:00:00 a. m.","False"
"MT1755","17","PINTURA TRAFICO AMARILLA SIN PERLAS MONT","cuñ","275,51","5","LA TIENDA DEL PINTOR-FLAMUCO PPAL","","4/5/2026 12:00:00 a. m.","False"
"MT176","14","INTERRUPTOR 1213 DOMINO 1 VIA","pza","5,54","0","","","4/5/2026 12:00:00 a. m.","False"
"MT1768","05","TUBO DE CONCRETO J.M. D = 0,80 M (33"") C","m","342,66","5","CONCRETERA CARACAS C.A.","","4/5/2026 12:00:00 a. m.","False"
"MT177","14","INTERRUPTOR TIPO DOMINO 3 VIAS SENCILLO","pza","6,62","0","MOTUSA","","4/5/2026 12:00:00 a. m.","False"
