"CodMan","CodFam","Descri","Salari","Superv","FecMan"
"CUC021","01","CUADRILLA DE FABRICACION ESTRUC. METALIC","18,83","","4/5/2026 12:00:00 a. m."
"CUC022","01","CUADRILLA DE MONTAJE DE ESTRUCT. METALIC","29,39","","4/5/2026 12:00:00 a. m."
"CUC023","01","CUADRILLA PARA TRABAJOS DE HERRERIA","12,5","","4/5/2026 12:00:00 a. m."
"CUC024","01","CUADRILLA DE OBREROS ESPECIALISTAS","9,98","","4/5/2026 12:00:00 a. m."
"CUU001","01","CUADRILLA COLOCACION TUBERIA ACERO","16,24","","4/5/2026 12:00:00 a. m."
"CUU002","01","CUADRILLA DE SOLDADURA DE TUBERIA","19,1","","4/5/2026 12:00:00 a. m."
"CUU003","01","CUADRILLA DE ALCANTARILLA","16,08","","4/5/2026 12:00:00 a. m."
"CUU004","01","CUADRILLA DE COLOCACION DE CONCRETO","4,83","","4/5/2026 12:00:00 a. m."
"CUU005","01","CUADRILLA PARA DRENAJES DE CONCRETO","30,42","","4/5/2026 12:00:00 a. m."
"CUU006","01","CUADRILLA DE CONCRETO PAVIMENTOS","37,4","","4/5/2026 12:00:00 a. m."
"CUU007","01","CUADRILLA DE CONCRETO PUENTES / PONTONES","33,8","","4/5/2026 12:00:00 a. m."
"CUU008","01","CUADRILLA DE CONCRETO P/OBRAS DE ARTE","39,77","","4/5/2026 12:00:00 a. m."
"CUU009","01","CUADRILLA DE CONCRETO","32,95","","4/5/2026 12:00:00 a. m."
"CUU010","01","CUADRILLA DE CONCRETO PARA CUNETAS","25,5","","4/5/2026 12:00:00 a. m."
"CUU011","01","CUADRILLA DE BOCA DE VISITA","16,73","","4/5/2026 12:00:00 a. m."
"CUU012","01","CUADRILLA DE TUBERIA H.F.D.","16,08","","4/5/2026 12:00:00 a. m."
"CUU013","01","CUADRILLA DE TUBERIA P.V.C.","9,55","","4/5/2026 12:00:00 a. m."
"CUU014","01","CUADRILLA DE TUBERIA DE CONCRETO","18,34","","4/5/2026 12:00:00 a. m."
"CUU015","01","CUADRILLA DE TUBERIA DE FIBROCEMENTO","19,1","","4/5/2026 12:00:00 a. m."
"CUU016","01","CUADRILLA CONCRETO ANCLAJES","19,28","","4/5/2026 12:00:00 a. m."
"CUU017","01","CUADRILLA DE PINTURA TUBERIAS","14,16","","4/5/2026 12:00:00 a. m."
"CUU018","01","CUADRILLA DE CANALIZACION","24,02","","4/5/2026 12:00:00 a. m."
