"CodEqu","CodFam","Descri","CosEqu","CosDia","Deprec","Transp","FecEqu","Dep01","Provee","Man01","Rep01","TipEqu"
"ALB075","00","CEPILLO ALBAÑILERIA TIPO PALUSTRA, MANGO","17,62","","0,09","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB076","00","CUCHILLA PARA CORTES","16,49","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB077","00","CUCHARA DE 6""  BELLOTA  O SIMILAR","34,12","","0,02","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB078","00","CORTADORA DE CERAMICA 24"" RUBI SIMILAR T","550,58","","0,02","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB079","00","PALA PUNTA RECTANGULAR CON CABO #","63,87","","0,034","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB080","00","PIQUETA","44,03","","0,03","","4/5/2026 12:00:00 a. m.","1","ARFESA ARAGUA FERRETERA S.A.","","",""
"ALB081","00","PALA CON CABO DE MADERA BELLOTA O SIM #","38,55","","0,034","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB082","00","MARTILLO TIPO CARPINTERO STANLEY","51,8","","0,01","","4/5/2026 12:00:00 a. m.","1","FERRETERIA DEL ESTE S.A.","","",""
"ALB083","00","PISTOLA NEUMATICA DE PERCUSION 5/8""","220,22","","0,02","","4/5/2026 12:00:00 a. m.","1","ARFESA ARAGUA FERRETERA S.A.","","",""
"ALB084","00","JUEGO DE PALA, MANDARRIA Y CARRETILLA","16,49","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB085","00","TALADRO P/PERFORAR CONCRETO HASTA 1""","16,49","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB086","00","PALUSTRA DENTADA CON MANGO DE GOMA","16,49","","0,02","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB087","00","ESPONJA DE ALBAÑIL (CEPILLO DE GOMA)","14,94","","0,04","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB088","00","JUEGO: ESPONJA, CEPILLO Y CUCHARA P/ALBA","50,69","","0,03","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB089","00","BARRA PATA DE CABRA (HERRAMIENTA)","54,52","","0,03","","4/5/2026 12:00:00 a. m.","1","AGROPECUARIA LA MILAGROSA C.A.","","",""
"ALB090","00","PIQUETA Y PALA","70,46","","0,02","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB091","00","JUEGO DE PICO Y PALA","82,58","","0,035","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB092","00","CEPILLO DE ALBAÑILERIA TIPO LLANA","20,73","","0,09","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB093","00","RATON / PALUSTRA P/REMATE","16,49","","0,09","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB094","00","CAVADORA HOYO MANUAL DOS CABOS DE MADERA","84,8","","0,02","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB095","00","ESCARDILLA CON CABO DE MADERA","50,69","","0,02","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB096","00","HOZ MANUAL DE PUNTA PARA CORTAR VEGETACI","39,64","","0,03","","4/5/2026 12:00:00 a. m.","1","EPA SUPERFERRETERIA","","",""
"ALB097","00","TALADRO 3/8"" BOSCH 1800 RPM 450 W PERCUS","504,29","","0,003","","4/5/2026 12:00:00 a. m.","1","INVERSIONES FERREFIX CA","","",""
"ALB098","00","TALADRO INDUSTRIAL POTENCIA 3/4 HP","506,48","","0,01","","4/5/2026 12:00:00 a. m.","1","ALQUIHERRAMIENTAS 2112 C.A.","","",""
"ALB099","00","MAQUINA P/EMPLOMAR-PULIR GRANITO-MARMOL","77,06","","1","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB100","00","MAQUINA ELECT P/EMPLOMAR-PULIR PISO 9HP ","8038,09","","0,005","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB101","00","ESMERIL PORTATIL 7"" BOSCH 8500 RPM O SIM","330,32","","0,035","","4/5/2026 12:00:00 a. m.","1","INVERSIONES FERREFIX CA","","",""
"ALB102","00","CIZALLA TIPO TIJERA MANUAL 24"" RIDGID O ","187,19","","0,02","","4/5/2026 12:00:00 a. m.","1","FERRETOTAL CARACAS C.A. / SAVAKE","","",""
"ALB103","00","TARRAJA MANUAL HASTA 2"" Y ACCESORIOS","406,29","","0,005","","4/5/2026 12:00:00 a. m.","1","","","",""
"ALB104","00","TARRAJA - ROSCADORA ELECTRICA RIDGID MOD","6606,65","","0,002","","4/5/2026 12:00:00 a. m.","1","CAMPI FERRETERIA C.A.","","",""
"ALB105","00","INYECTOR ROTOJET","341,34","","0,0035","","4/5/2026 12:00:00 a. m.","1","","","",""
