"CodPar","Descri","CovPar","UniPar","RenPar","PreUni","UniCanRen","CanPar","Coste","RPC","UniMed"
"B01040","DESMONTAJE DE ESPEJOS Y ACCESORIOS EN BAÑO","S/C","sg","4","","U","","False","","0"
"B01041","DESMONTAJE DE ESTRUCTURA METALICA EN TECHO","S/C","m2","10","","U","","False","","0"
"B01042","DESMONTAJE DE FIBRA DE VIDRIO EXISTENTE (POR TRAMOS)","S/C","m2","35","","U","","False","","0"
"B01043","DESMONTAJE DE INSTALACIONES ELECTRICAS EXISTENTES (TUBERIAS, CAJAS, CABLEADOS Y ACCESORIOS) - (1M2-200M2=1; 201M2-400M2=2; 401M2-600M2=3; ETC.)","S/C","sg","1","","U","","False","","0"
"B01044","DESMONTAJE DE LAMINAS EN TECHO DE SUSPENSION VISIBLE CON RECUPERACION","S/C","m2","65","","U","","False","","0"
"B01045","DEMOLICION DE ESTRUCTURAS METALICAS CON EQUIPO PESADO","S/C","m2","12","","U","","False","","0"
"B01046","DESMONTAJE DE LAMPARAS EXISTENTES CON RECUPERACION","S/C","und","20","","U","","False","","0"
"B01047","DESMONTAJE DE MARCOS METALICOS SIN RECUPERACION","S/C","und","15","","U","","False","","0"
"B01048","DESMONTAJE DE MARMOL EN FACHADA","S/C","m2","13","","U","","False","","0"
"B01049","DESMONTAJE DE MUEBLE CAPUY EXISTENTE","S/C","pza","5","","U","","False","","0"
"B01050","DESMONTAJE DE MUEBLE DE CAJERO CON RECUPERACION","S/C","m","14","","U","","False","","0"
"B01051","DESMONTAJE DE PANTALLA DE TAZA Y RELOJ","S/C","und","20","","U","","False","","0"
"B01052","DESMONTAJE DE PERFILERIA DE ALUMINIO, INCLUYENDO VIDRIO","S/C","m2","13","","U","","False","","0"
"B01053","DESMONTAJE DE PERSIANAS","S/C","pza","10","","U","","False","","0"
"B01054","DESMONTAJE DE PIEZAS SANITARIAS SIN RECUPERACION","S/C","pza","12","","U","","False","","0"
"B01055","DESMONTAJE DE PISOS DE MADERA O PARQUET","S/C","m2","20","","U","","False","","0"
"B01056","DESMONTAJE DE MUEBLE DE CAJERO SIN RECUPERACION","S/C","m","14","","U","","False","","0"
"B01057","DESMONTAJE DE PLETINAS PLASTICAS (TAPA CABLES)","S/C","m","50","","U","","False","","0"
"B01058","DESMONTAJE DE POSTES DE SEGURIDAD BANCARIA EXISTENTES","S/C","und","10","","U","","False","","0"
"B01059","DESMONTAJE DE PUERTA DE MADERA EXISTENTE","S/C","pza","15","","U","","False","","0"
"B01060","DESMONTAJE DE PUERTA ENTAMBORADA DE HIERRO","S/C","pza","8","","U","","False","","0"
"B01061","DESMONTAJE DE PUERTA DE VIDRIO TEMPLADO, TIPO TEMPLEX O SIMILAR, CON RECUPERACION","S/C","und","5","","U","","False","","0"
"B01062","DESMONTAJE DE PUERTAS SANTA MARIA EXISTENTES","S/C","m2","8","","U","","False","","0"
"B01063","DESMONTAJE DE PUNTOS ELECTRICOS EXISTENTES","S/C","pto","35","","U","","False","","0"
"B01064","DESMONTAJE DE Q-MATIC (BANCARIO)","S/C","pza","5","","U","","False","","0"
"B01065","DESMONTAJE DE REJAS METALICAS EN FACHADA","S/C","m2","20","","U","","False","","0"
"B01066","DESMONTAJE DE REJAS TIPO SANTA MARIA","S/C","und","1,75","","U","","False","","0"
"B01067","DESMONTAJE DE REJILLA DE A/C CON RECUPERACION","S/C","und","80","","U","","False","","0"
"B01068","DESMONTAJE DE RIELES DE ALUMINIO","S/C","m","50","","U","","False","","0"
"B01069","DESMONTAJE DE SURELL","S/C","m","35","","U","","False","","0"
"B01070","DESMONTAJE DE TABIQUE DE DRY WALL","S/C","m2","35","","U","","False","","0"
"B01071","DESMONTAJE DE TABIQUE DE FORMICA Y VIDRIO","S/C","m2","20","","U","","False","","0"
"B01072","DESMONTAJE DE TABIQUERIA DE FORMICA","S/C","m2","25","","U","","False","","0"
"B01073","DESMONTAJE DE TABIQUERIA MODULAR","S/C","m2","15","","U","","False","","0"
"B01074","DESMONTAJE DE TECHO DE DRY WALL","S/C","m2","30","","U","","False","","0"
"B01075","DESMONTAJE DE PERFIL U DE ALUMINIO","S/C","m","40","","U","","False","","0"
"B01076","DESMONTAJE DE VENTANA CON  RECUPERACION","S/C","und","13","","U","","False","","0"
"B01077","DESMONTAJE DE VENTANA DE ROMANILLA. INCLUYE MARCO","S/C","m2","25","","U","","False","","0"
"B01078","DESMONTAJE DE VENTANA SIN RECUPERACION. INCLUYE MARCO","S/C","und","15","","U","","False","","0"
"B01079","DESMONTAJE DE VENTANA TIPO SEGURIT","S/C","und","2","","U","","False","","0"
"B01080","DESMONTAJE DE VIDRIO ESMERILADO CON RECUPERACION","S/C","m2","12","","U","","False","","0"
"B01081","DESMONTAJE DE VIDRIOS, ESPESOR VARIABLE","S/C","m2","18","","U","","False","","0"
"B01082","DESMONTAJE EN FACHADA DE AVISOS LUMINOSOS","S/C","und","1,2","","U","","False","","0"
"B01083","DESMONTAJE PARCIAL DE DUCTO DE AIRE ACONDICIONADO A/C","S/C","m","25","","U","","False","","0"
"B01084","DESMONTAJE Y MONTAJE DE PUBLICIDAD","S/C","und","13","","U","","False","","0"
"B01085","INSTALACION PROVISIONAL DE LAMPARAS","S/C","und","16","","U","","False","","0"
"B01086","MOVILIZACION DE CAJA FUERTES Y ARCHIVOS DE SEGURIDAD","S/C","und","5","","U","","False","","0"
"B01087","MUDANZA DIARIA DE MUEBLES EN LA AGENCIA DURANTE REMODELACION","S/C","día","3","","U","","False","","0"
"B01088","REMOCION DE  VINYL","S/C","m2","25","","U","","False","","0"
"B01089","REMOCION DE ALFOMBRA","S/C","m2","40","","U","","False","","0"
"B01090","REMOCION DE MANTO ASFALTICO","S/C","m2","19","","U","","False","","0"
"B01091","REMOCION DE PINTURA EN BARANDAS","S/C","m","15","","U","","False","","0"
"B01092","REMOCION DE PUNTOS DE AGUAS BLANCAS (A.B)  Y  AGUAS RESIDUALES (A.N.)","S/C","pto","10","","U","","False","","0"
"B01093","REMOCION DE RODAPIE  DE VINYL","S/C","m","85","","U","","False","","0"
"B01094","REMOCION DE RODAPIE  DE ALFOMBRA","S/C","m","80","","U","","False","","0"
"B01095","REMOCION DE RODAPIE DE MADERA EXISTENTE","S/C","m","129","","U","","False","","0"
"B01096","REMOCION DE TABLETILLA DE ARCILLA EN PAREDES","S/C","m2","28","","U","","False","","0"
"B01097","REMOCION DE TEJAS DE ARCILLA","S/C","m2","20","","U","","False","","0"
"B01098","REMOCION DE TUBERIA SANITARIA","S/C","m","25","","U","","False","","0"
"B01099","REPICADO DE FRISOS PARA RECIBIR ACABADO","S/C","m2","30","","U","","False","","0"
"B01100","REPICADO DE PISOS PARA COLOCACION DE REVESTIMIENTO","S/C","m2","35","","U","","False","","0"
"B01101","REPLANTEO DE OBRA","S/C","m2","700","","U","","False","","0"
"B01102","REUBICACION DE AVISO LUMINOSO (INCLUYE DESMONTAJE Y MONTAJE)","S/C","m","5","","U","","False","","0"
"B01103","REUBICACION TEMPORAL DE PUNTOS (DATA, TELF, TOMACORRIENTES, TERMOSTATOS)","S/C","pto","30","","U","","False","","0"
"B01104","ROTURA DE CONCRETO EN ACERA (PARA ESPESORES NO MAYORES DE 15 CM)","S/C","m2","10","","U","","False","","0"
"B01105","ROTURA EN PAREDES PARA EMBUTIR INSTALACIONES","S/C","m","30","","U","","False","","0"
"B01106","ROTURA EN PISO PARA EMPOTRAR INSTALACIONES","S/C","m2","12","","U","","False","","0"
"B01107","TALA Y BOTE DE ARBOLES MAYORES A 2 MT","S/C","pza","7","","U","","False","","0"
"B01108","DESMONTAJE DE PLANILLERO","S/C","pza","15","","U","","False","","0"
"B01109","A/C DESMONTAJE Y LIMPIEZA DE UNIDAD AIRE ACONDICIONADO SPLIT DE 5 A 10 TON. NO INCLUYE TRANSPORTE","S/C","und","1","","U","","False","","0"
"B01110","DEMOLICION DE PAVIMENTO DE CONCRETO CON EQUIPO LIVIANO","S/C","m3","7","","U","","False","","0"
"B01111","DEMOLICION DE GARITA DE VIGILANCIA TIPO BANCARIA. INCLUYE ACARREO DE MATERIALES DEMOLIDOS Y APILAMIENTO","S/C","und","1,25","","U","","False","","0"
"B01112","DEMOLICION DE TABIQUES DE DRY WALL, MADERA O FORMICA. ACARREO Y APILAMIENTO","S/C","m2","40","","U","","False","","0"
"B01113","REMOCION DE MANTO ASFALTICO EN LOSAS HORIZONTALES","E.141.S/C","m2","66,6245","","U","","False","","0"
